club,clubLabel,venue,venueLabel,longitude,latitude,capacity
http://www.wikidata.org/entity/Q2739,A.S. Roma,http://www.wikidata.org/entity/Q159884,Stadio Olimpico,12.45472222,41.93388889,70634
http://www.wikidata.org/entity/Q18124291,A.S. Roma Primavera,http://www.wikidata.org/entity/Q159884,Stadio Olimpico,12.45472222,41.93388889,70634
http://www.wikidata.org/entity/Q8701,Atlético de Madrid,http://www.wikidata.org/entity/Q1369687,Metropolitano Stadium,-3.59944400,40.43611100,70460
http://www.wikidata.org/entity/Q179075,FC Dynamo Kyiv,http://www.wikidata.org/entity/Q183529,Olimpiyskiy National Sports Complex,30.52166667,50.43333333,70050
http://www.wikidata.org/entity/Q1423118,Göztepe S.K.,http://www.wikidata.org/entity/Q259830,İzmir Atatürk Stadium,27.17805556,38.43500000,70000
http://www.wikidata.org/entity/Q700455,Pyongyang City Sports Club,http://www.wikidata.org/entity/Q1137515,Kim Il-sung Stadium,125.75769440,39.04372222,70000
http://www.wikidata.org/entity/Q7263151,Pyongyang FC,http://www.wikidata.org/entity/Q1137515,Kim Il-sung Stadium,125.75769440,39.04372222,70000
http://www.wikidata.org/entity/Q2619886,Q2619886,http://www.wikidata.org/entity/Q336088,Estádio Nacional de Brasília,-47.89916400,-15.78350000,69910
http://www.wikidata.org/entity/Q2621788,Brasília Futebol Clube,http://www.wikidata.org/entity/Q336088,Estádio Nacional de Brasília,-47.89916400,-15.78350000,69910
http://www.wikidata.org/entity/Q2937395,Capital Clube de Futebol,http://www.wikidata.org/entity/Q336088,Estádio Nacional de Brasília,-47.89916400,-15.78350000,69910
http://www.wikidata.org/entity/Q4387291,Centro de Futebol Zico Sociedade Esportiva,http://www.wikidata.org/entity/Q336088,Estádio Nacional de Brasília,-47.89916400,-15.78350000,69910
http://www.wikidata.org/entity/Q9210991,Legiaõ FC,http://www.wikidata.org/entity/Q336088,Estádio Nacional de Brasília,-47.89916400,-15.78350000,69910
http://www.wikidata.org/entity/Q65168393,Q65168393,http://www.wikidata.org/entity/Q336088,Estádio Nacional de Brasília,-47.89916400,-15.78350000,69910
http://www.wikidata.org/entity/Q2352114,San Francisco Golden Gate Gales,http://www.wikidata.org/entity/Q1033076,Candlestick Park,-122.38611110,37.71361111,69732
http://www.wikidata.org/entity/Q4122219,Panathinaikos F.C.,http://www.wikidata.org/entity/Q189663,Olympic Stadium in Athens,23.78750000,38.03611111,69618
http://www.wikidata.org/entity/Q29108,FC Zenit Saint Petersburg,http://www.wikidata.org/entity/Q722970,Gazprom Arena,30.22053300,59.97295300,68134
